restaurant_id,rate,votes
45867,"""4.1 /5""",427
32681,"""3.8 /5""",232
25115,,0
12910,"""3.5/5""",6
14902,"""NEW""",0
14733,"""4.2/5""",975
31035,,0
26691,"""4.4/5""",3766
44701,"""4.5 /5""",2935
47049,"""3.0 /5""",81
30395,"""3.7 /5""",21
9794,"""NEW""",0
10759,"""3.1/5""",7
12389,"""4.1/5""",55
29816,"""4.1 /5""",61
32221,"""3.2 /5""",4
42438,"""3.6 /5""",17
30154,,0
257,"""3.8/5""",286
33536,,0
20666,"""NEW""",0
98,"""3.7/5""",65
39212,"""4.0 /5""",122
38898,"""3.2 /5""",10
40570,"""3.7 /5""",279
32566,"""3.7 /5""",34
31998,"""4.5 /5""",6377
40001,,0
12336,"""3.6/5""",95
49001,"""3.9 /5""",231
39534,"""4.4 /5""",1016
22368,"""4.1/5""",138
27752,"""NEW""",0
2445,"""2.9/5""",126
10969,"""4.0/5""",431
47735,,0
50513,"""3.9 /5""",41
24360,"""3.6/5""",24
33878,"""4.0 /5""",72
21362,"""3.9 /5""",214
12575,"""4.2/5""",2213
36768,"""3.9 /5""",484
23920,"""3.9/5""",29
43437,"""3.8 /5""",77
22254,"""3.6/5""",60
5866,,0
45518,,0
21539,,0
21976,"""2.9/5""",65
36986,"""4.0 /5""",212
33760,"""3.3 /5""",9
152,"""4.1/5""",340
12846,"""3.3/5""",9
50494,"""3.6 /5""",23
13267,"""3.9/5""",72
24228,"""4.0/5""",120
32302,"""3.7 /5""",129
20845,,0
50943,"""4.1 /5""",42
42954,"""3.5 /5""",15
45542,"""3.4 /5""",6
49755,"""3.0 /5""",25
39305,,0
48778,"""4.1 /5""",2181
19330,"""4.6/5""",2785
44129,"""3.5 /5""",15
49693,"""3.0 /5""",23
20582,"""4.2/5""",76
17222,"""3.4/5""",10
8805,"""3.7/5""",483
3287,"""3.2/5""",17
22032,"""3.9/5""",488
10903,"""NEW""",0
5934,"""4.1/5""",33
6420,"""3.5/5""",11
21652,"""3.6 /5""",42
35595,"""3.1 /5""",9
36087,,0
47841,"""3.9 /5""",32
23192,"""3.9/5""",349
38006,"""4.3 /5""",772
199,"""3.0/5""",62
43671,,0
6627,"""NEW""",0
33002,"""3.9 /5""",450
391,"""3.7/5""",67
7137,"""4.2/5""",263
39988,"""3.3 /5""",8
15993,"""4.5/5""",194
42345,"""3.9 /5""",114
42991,"""3.2 /5""",5
46652,"""3.4 /5""",4
38259,"""4.1 /5""",491
28399,"""4.7 /5""",3214
37152,"""4.0 /5""",141
546,"""4.0/5""",43
45751,"""3.8 /5""",170
34744,"""NEW""",0
48333,"""2.8 /5""",132
41069,,0
2609,"""3.7/5""",97
24234,"""3.7/5""",27
40490,"""3.7 /5""",77
44919,"""4.8 /5""",1781
33820,"""4.0 /5""",1408
25058,,0
16608,"""3.8/5""",43
30060,"""3.8 /5""",36
1893,,0
42228,"""3.6 /5""",7
7357,"""3.4/5""",11
2,"""3.8/5""",918
47205,"""4.2 /5""",167
29322,"""4.2 /5""",1704
12383,"""4.4/5""",1899
49756,"""NEW""",0
4650,"""3.0/5""",155
30928,"""3.9 /5""",124
9515,"""3.3/5""",8
8448,"""4.1/5""",301
